Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1978,,,,,,,,,,,0.533,0.545,
1979,0.555,0.577,0.605,0.627,0.656,0.709,0.752,0.800,0.848,0.856,0.867,0.883,
1980,0.929,0.977,1.006,1.010,1.011,1.017,1.022,1.021,1.019,1.013,1.025,1.066,
1981,1.150,1.260,1.290,1.280,1.267,1.259,1.251,1.246,1.239,1.232,1.235,1.247,
1982,1.254,1.248,1.208,1.162,1.171,1.194,1.200,1.195,1.191,1.214,1.237,1.229,
1983,1.194,1.160,1.101,1.070,1.089,1.087,1.083,1.083,1.087,1.089,1.086,1.085,
1984,1.122,1.220,1.158,1.137,1.134,1.127,1.109,1.088,1.081,1.091,1.089,1.085,
1985,1.078,1.085,1.081,1.087,1.082,1.063,1.040,1.024,,1.068,1.119,1.143,
1986,1.126,1.011,0.937,0.875,0.830,0.806,0.751,0.726,0.736,0.733,0.733,0.750,
1987,0.817,0.851,0.843,0.843,0.839,0.841,0.842,0.850,0.852,0.863,0.888,0.889,
1988,0.890,0.888,0.881,0.876,0.874,0.862,0.832,0.822,0.817,0.790,0.798,0.826,
1989,0.883,0.888,0.891,0.904,0.887,0.867,0.857,0.846,0.850,0.887,0.913,0.978,
1990,1.259,1.023,0.987,0.968,0.952,0.909,0.880,0.998,1.165,1.330,1.305,1.273,
1991,1.235,1.170,1.086,1.016,0.968,0.945,0.926,0.927,0.942,0.966,1.020,1.017,
1992,0.985,0.975,0.961,0.951,0.952,0.954,0.947,0.943,0.945,0.969,0.978,0.971,
1993,0.969,0.973,0.977,0.977,0.963,0.950,0.937,0.906,0.907,0.924,0.927,0.914,
1994,0.919,0.978,0.966,0.935,0.919,0.906,0.898,0.894,0.894,0.890,0.894,0.900,
1995,0.913,0.915,0.906,0.900,0.901,0.895,0.885,0.879,0.870,0.873,0.879,0.905,
1996,1.007,1.001,1.020,1.065,1.038,0.969,0.935,0.934,0.980,1.063,1.097,1.121,
1997,1.136,1.127,1.079,1.046,1.031,1.001,0.957,0.945,0.945,0.956,0.970,0.979,
1998,0.966,0.948,0.933,0.915,0.903,0.874,0.853,0.838,0.827,0.834,0.841,0.827,
1999,0.834,0.828,0.828,0.853,0.852,0.845,0.857,0.877,0.939,0.976,1.018,1.088,
2000,1.189,1.614,1.359,1.286,1.263,1.249,1.250,1.246,1.407,1.453,1.477,1.528,
2001,1.509,1.463,1.394,1.367,1.343,1.322,1.257,1.238,1.285,1.227,1.193,1.117,
2002,1.123,1.112,1.119,1.158,1.163,1.136,1.127,1.135,1.174,1.203,1.221,1.267,
2003,1.396,1.641,1.766,1.491,1.372,1.305,1.279,1.283,1.284,1.297,1.331,1.360,
2004,1.508,1.558,1.541,1.519,1.533,1.537,1.536,1.607,1.671,1.882,1.958,1.895,
2005,1.859,1.962,2.078,2.120,2.036,2.059,2.173,2.276,2.593,2.626,2.458,2.407,
2006,2.418,2.423,2.429,2.526,2.572,2.566,2.597,2.649,2.531,2.396,2.375,2.460,
2007,2.368,2.425,2.505,2.555,2.567,2.561,2.621,2.634,2.706,2.808,3.169,3.247,
2008,3.337,3.338,3.699,3.875,4.185,4.589,4.649,4.217,3.952,3.544,3.003,2.637,
2009,2.509,2.451,2.319,2.354,2.344,2.449,2.452,2.559,2.553,2.603,2.790,2.788,
2010,2.967,2.890,2.908,2.981,2.913,2.828,2.800,2.814,2.830,2.936,3.044,3.193,
2011,3.415,3.607,3.827,3.975,3.914,3.824,3.689,3.671,3.654,3.642,3.682,3.646,
2012,3.697,3.804,3.909,3.858,3.749,3.513,3.492,3.660,3.817,3.847,3.847,3.844,
2013,3.841,3.965,3.879,3.701,3.599,3.569,3.604,3.651,,,,,